-----------------------------------------------------------------------------------------------------------------------------------
g++ CC = g++ -mavx2 -O3                                                                              Intel i5-6500 (Skylake family)
-----------------------------------------------------------------------------------------------------------------------------------
=============================== SKINNY-ZOCB
Encryption Timing (cycles/byte)
 P_len/AD_len(bytes),         0,        15,        30,        45,        60,        75,        90,       105,       120,       135,       150,       165,       180,       195,       210,       225,       240,       255,       270,       285,       300,       315,       330,       345,       360,       375,       390,       405,       420,       435,       450,       465,       480,       495,       510,       525,       540,       555,       570,       585,       600,       615,       630,       645,       660,       675,       690,       705,       720,       735,       750,       765,       780,       795,       810,       825,       840,       855,       870,       885,       900,       915,       930,       945,       960,
                 320,    236.90,    226.07,    216.28,    207.46,    199.27,    191.75,    184.69,    178.18,    172.07,    166.51,    161.19,    156.24,    151.48,    147.05,    142.93,    138.96,    135.30,    131.65,    128.35,    125.23,    138.83,    135.77,    132.57,    134.48,    131.49,    132.97,    130.17,    131.93,    129.19,    130.86,    128.36,    129.99,    127.45,    129.09,    126.76,    128.36,    126.07,    127.55,    125.45,    126.75,    124.69,    126.20,    124.17,    125.55,    123.63,    124.93,    123.17,    124.42,    122.67,    123.96,    122.30,    120.47,    121.85,    120.19,    121.52,    119.98,    121.21,    119.72,    120.83,    119.26,    120.41,    119.05,    120.15,    118.70,    119.84,
                 336,    235.42,    225.26,    215.92,    207.45,    199.65,    192.29,    185.52,    179.34,    173.34,    167.81,    162.77,    157.86,    153.29,    148.86,    144.70,    140.96,    137.29,    133.76,    130.42,    127.33,    124.31,    137.47,    134.33,    131.42,    133.30,    130.43,    131.74,    129.07,    130.78,    128.20,    129.92,    127.50,    129.03,    126.79,    128.18,    125.91,    127.47,    125.44,    126.83,    124.72,    126.23,    124.10,    125.51,    123.61,    124.94,    123.11,    124.43,    122.64,    123.96,    122.20,    123.48,    121.80,    120.00,    121.38,    119.79,    121.19,    119.60,    120.78,    119.35,    120.48,    118.96,    120.16,    118.63,    119.82,    118.36,
                 352,    233.98,    224.34,    215.55,    207.41,    199.78,    192.92,    186.29,    180.18,    174.43,    169.16,    164.09,    159.34,    154.75,    150.62,    146.58,    142.71,    139.15,    135.65,    132.35,    129.27,    126.27,    123.42,    136.01,    133.15,    130.20,    132.10,    129.52,    130.77,    128.23,    129.82,    127.46,    128.97,    126.74,    128.16,    125.96,    127.37,    125.20,    126.63,    124.58,    126.06,    124.06,    125.41,    123.51,    124.92,    123.04,    124.36,    122.57,    123.84,    122.10,    123.34,    121.64,    123.00,    121.33,    119.67,    120.98,    119.41,    120.71,    119.19,    120.48,    118.94,    120.07,    118.81,    119.86,    118.46,    119.52,
                 368,    232.66,    223.60,    214.93,    207.26,    200.04,    193.19,    186.91,    180.86,    175.57,    170.23,    165.29,    160.68,    156.28,    152.10,    148.15,    144.34,    140.78,    137.37,    134.12,    131.11,    128.13,    125.27,    122.64,    134.69,    131.98,    129.34,    130.97,    128.41,    129.74,    127.38,    128.94,    126.59,    128.10,    125.95,    127.47,    125.30,    126.74,    124.67,    126.12,    124.07,    125.45,    123.53,    124.94,    123.01,    124.37,    122.65,    123.88,    122.15,    123.36,    121.73,    122.98,    121.34,    122.54,    120.96,    119.33,    120.63,    119.13,    120.36,    118.92,    120.17,    118.69,    119.79,    118.44,    119.54,    118.08,
                 384,    231.51,    222.80,    214.68,    207.18,    200.26,    193.66,    187.57,    181.70,    176.35,    171.30,    166.52,    161.97,    157.66,    153.61,    149.65,    146.01,    142.42,    139.06,    135.94,    132.90,    130.01,    127.16,    124.53,    121.91,    133.48,    130.90,    128.29,    130.11,    127.50,    128.89,    126.66,    128.20,    125.89,    127.54,    125.20,    126.73,    124.59,    126.12,    124.05,    125.47,    123.52,    124.83,    123.00,    124.25,    122.59,    123.82,    122.09,    123.36,    121.70,    122.84,    121.23,    122.47,    120.88,    122.09,    120.58,    118.96,    120.26,    118.74,    120.05,    118.50,    119.72,    118.28,    119.36,    118.09,    119.17,
                 400,    230.59,    222.08,    214.41,    207.07,    200.34,    194.10,    188.19,    182.57,    177.21,    172.33,    167.60,    163.24,    159.05,    155.05,    151.23,    147.53,    144.12,    140.75,    137.61,    134.60,    131.71,    128.94,    126.30,    123.77,    121.34,    132.32,    129.98,    127.49,    129.18,    126.80,    127.99,    125.76,    127.43,    125.18,    126.70,    124.57,    125.93,    124.03,    125.33,    123.50,    124.86,    123.02,    124.33,    122.53,    123.81,    122.06,    123.35,    121.64,    122.89,    121.23,    122.48,    120.80,    122.11,    120.53,    121.72,    120.22,    118.69,    119.87,    118.49,    119.62,    118.27,    119.31,    118.02,    119.08,    117.69,
                 416,    229.51,    221.56,    214.00,    207.08,    200.59,    194.33,    188.76,    183.19,    178.07,    173.25,    168.74,    164.38,    160.23,    156.26,    152.49,    149.01,    145.58,    142.29,    139.20,    136.20,    133.35,    130.59,    128.01,    125.42,    123.02,    120.64,    131.35,    129.12,    126.80,    128.27,    126.00,    127.25,    125.16,    126.59,    124.66,    126.04,    124.04,    125.37,    123.48,    124.80,    122.98,    124.30,    122.54,    123.79,    122.07,    123.31,    121.62,    122.89,    121.20,    122.45,    120.88,    122.02,    120.43,    121.67,    120.18,    121.32,    119.89,    118.35,    119.66,    118.24,    119.34,    117.93,    119.07,    117.72,    118.88,
                 432,    228.62,    220.85,    213.79,    206.93,    200.67,    194.77,    189.26,    183.92,    178.92,    174.18,    169.76,    165.51,    161.42,    157.56,    153.89,    150.42,    147.01,    143.75,    140.79,    137.82,    134.98,    132.25,    129.67,    127.11,    124.73,    122.42,    120.17,    130.53,    128.20,    125.90,    127.47,    125.29,    126.53,    124.46,    125.88,    123.78,    125.43,    123.44,    124.74,    122.94,    124.23,    122.51,    123.80,    122.07,    123.27,    121.61,    122.78,    121.26,    122.48,    120.87,    122.04,    120.54,    121.68,    120.15,    121.33,    119.85,    120.96,    119.56,    118.13,    119.29,    118.00,    119.09,    117.79,    118.87,    117.45,
                 448,    227.89,    220.40,    213.51,    207.01,    200.91,    195.07,    189.63,    184.56,    179.69,    175.06,    170.68,    166.55,    162.58,    158.73,    155.12,    151.65,    148.41,    145.17,    142.16,    139.28,    136.42,    133.80,    131.22,    128.71,    126.33,    124.01,    121.82,    119.72,    129.49,    127.44,    125.23,    126.83,    124.65,    125.97,    124.03,    125.37,    123.53,    124.74,    122.90,    124.24,    122.40,    123.76,    121.97,    123.19,    121.50,    122.70,    121.16,    122.30,    120.82,    121.98,    120.53,    121.56,    120.12,    121.20,    119.79,    120.90,    119.52,    120.64,    119.18,    117.82,    118.91,    117.65,    118.75,    117.45,    118.45,
                 464,    227.03,    219.84,    213.19,    206.96,    200.95,    195.35,    190.07,    185.07,    180.31,    175.79,    171.48,    167.36,    163.53,    159.85,    156.31,    152.87,    149.67,    146.49,    143.50,    140.66,    137.90,    135.21,    132.70,    130.19,    127.85,    125.56,    123.37,    121.22,    119.12,    128.78,    126.54,    124.74,    126.17,    124.10,    125.35,    123.44,    124.67,    122.97,    124.17,    122.42,    123.70,    122.00,    123.23,    121.54,    122.77,    121.18,    122.34,    120.86,    122.04,    120.48,    121.69,    120.12,    121.26,    119.80,    120.94,    119.50,    120.64,    119.23,    120.29,    118.86,    117.54,    118.71,    117.46,    118.50,    117.24,
